,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
44,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,◆未経験からでも安心の教育体制！◆地域のお客さまへ土地活用の提案をお任せします◆頑張りは、賞与5ヶ月分・高水準のインセン支給でたっぷり還元！,◆先輩も業界・営業未経験者が多数！「仕事を頑張って稼ぎたい！」「正当に評価されたい！」「ゆくゆくはキャリアUPも目指したい！」などの方歓迎！,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
45,株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.4万円も目指せる！,【20～30代男女が活躍中♪】◆『カラオケまねきねこ』で、店舗管理・マネジメント業務をお任せ★未経験でも安心！先輩が丁寧にサポートします。,《人物重視》高卒以上◆未経験・第二新卒・フリーター出身の先輩たくさん♪★上場グループの正社員として安定！※社会人歴・転職回数不問,《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
46,株式会社テクトン | WEB面接可／年間休日125日／土日祝休み／残業少なめ,【様々なプロジェクトで成長】システム開発またはインフラ設計・構築プロジェクトをお任せします ◆あなたの希望を最優先◆好きな技術を追求！,＜学歴不問／第二新卒歓迎！＞◆ITプロジェクトでの実務経験がある方（開発/インフラ）◆Java／PHP／.NETなど歓迎,＜転居を伴う転勤はありません＞ ■本社／東京都新宿区新宿6-29-8 新宿福智ビル5F・6F ■関…,■月給30万円〜70万円 ※前職給与・経験・年齢・能力などを考慮して、給与額を決定します。 ※30時間分の…,360万円～840万円
47,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,◆大手ネット通販の品物を、個人宅・企業へ配送します。★ご自身の理想のペースで稼げます！（※加盟金・違約金は不要です／力仕事ではありません）,【経験不問・学歴不問・フリーランスデビュー大歓迎！ ◆第二新卒・失業中の方・フリーターの方も大歓迎です】◎普通自動車免許をお持ちの方（AT可）,原則自由 ■東京都:新宿・中野・世田谷・文京などの23区全域・立川・昭島など ■神奈川県:茅ヶ崎・…,完全出来高制（1個あたり150〜250円 ※エリアによる／平均日当3万円） もしくは 固定制（日当1万5千〜2万…,300万円～1000万円
48,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,【ITインフラ・クラウド】ネットワーク設計・運用など希望・スキルに合ったお仕事　★タイプに合ったキャリアを選べる★マルチクラウドのスキルを手に,【高卒以上】IT業界経験半年以上・エンジニアとして活躍したい方 ★家族を安心させたい方◎★案件豊富★第6回<ワーク・ライフ・バランス大賞>大賞受賞,【リモート案件多数】 ★月~20万/年~240万のインセンティブ賞与 ★UIターン歓迎(上京時に寮…,<東京/埼玉/神奈川/千葉> (1)月給27万円~＋インセンティブ賞与・諸手当 <静岡/愛知/大阪> (2)月給26.5万…,306万円～1000万円
49,東建コーポレーション株式会社 | ＊年齢に関わらず『まだまだやれる』そんな職場環境があります＊,■『土地活用の提案営業』をお任せします ■年齢・社歴に関わらず早期キャリアUPも可能！入社後の教育制度も充実！■地域貢献度の高い仕事,■最後の転職先に当社を選び『今よりもっと安定した環境で収入を上げていきたい』という先輩が活躍中！■年齢不問！高卒以上・要普通免許,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
50,ヒカリ電気土木株式会社 | 設立以来、増収増益で絶好調！成長性＆安定性を備えた優良企業,【工具の名前から覚える――完全未経験のチャレンジを応援！】コンセントの取り付けや配線など、電気設備の工事全般をお任せ。チーム制で安心の環境。,【 未経験歓迎 】家から近い。手に職付けたい。まずはそこからでOK。9割以上未経験入社！ゼロから育てます！,◎転勤なし ◎車通勤OK ◎住宅手当や社員寮あり 三重県いなべ市大安町石榑東1034 【近隣エリア…,月給20万円〜40万円 ＋残業代 ＋各種手当＋賞与年3回 ★モデル年収／年収450万円／33歳／入社2年 ※今回…,400万円～700万円
51,株式会社コシダカ | ★月収例29万4000円！★年休110日以上★東証一部上場グループ,【同期入社多数！】『カラオケまねきねこ』をお客様に思いっきり楽しんでもらえるように接客しましょう！★新入社員研修制度あり★年2回5連休あり！,＼職種・業種・社会人未経験大歓迎！／★人物重視の採用です！転職回数・学歴・年齢不問＜高卒・フリーター、第二新卒の方歓迎＞★20～40代が活躍中！,《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
52,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【“営業＆業界デビュー”を応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪,【未経験歓迎！第二新卒歓迎】★高卒以上★40歳以下★20~30代が中心に活躍中！明るく元気な笑顔で対応できる方を歓迎♪,北海道、宮城県、東京都、埼玉県、神奈川県、愛知県、大阪府、香川県、徳島県、高知県、愛媛県、鹿児島県…,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,
53,株式会社コシダカ | 【上場グループ企業】月8~10日休★土日休みもOK★年2回5連休あり,【フランクな接客で愛されるお店をつくる♪】カラオケまねきねこの店舗社員として受付業務等をお任せ♪ ★昇給1回毎に3万円UP可能 ★丁寧な入社後研修,【性別・年齢・経験いっさい不問！／人物重視◎】未経験・第二新卒・フリーター歓迎！ ★仕事もプライベートも充実させませんか？ ※高卒以上,《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
54,株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えのも可能／web面接実施中,＼ 最大4連勤まで！完全週休2日制です ／◎機械の点検・メンテナンスや設定業務をお任せします。★マニュアルをもとに業務を進めていただきます。,★★未経験者・第二新卒も大歓迎★★ ◎学歴・年齢・経験は一切不問 ◎40歳までの方（若年層の長期キャリア形成を図るため）＼ UIJターンも大歓迎 ／,＼＼ 家具付きの寮を完備しています ／／ 長崎もしくは大分のいずれかの希望勤務地 諫早事業所 長崎…,"月給170,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…",280万円～400万円
55,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★在宅勤務OK★年間休日126日,【ITインフラ・クラウド】インフラのシステム企画～要件定義、PLとしてのマネジメントなど希望・スキルに合ったお仕事★マルチクラウドのスキルを手に,【学歴不問】ネットワーク・サーバ構築の経験者はぜひ(年数不問)　★今より良い環境を目指したい方◎★第6回<ワーク・ライフ・バランス大賞>大賞受賞,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給40万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当を別途支給 ★経験・スキルを考慮して…,480万円～1000万円
